# This table combines: (1) a validated ML risk model (see model_card.md), (2) real engagement survey data covering 49.7% of employees (Step 13 -- do not generalize to the rest), (3) O*NET role mappings with confidence levels ranging from very_low to medium -- none are exact matches (see data_relationships.md Open Issue #1), and (4) SYNTHETIC skill-gap and recommendation data (Steps 15-18) that has NOT been validated against real employee skill records. Sections 3 and 4 are illustrative of MVP capability, not production-ready HR guidance.
EmployeeNumber,Department,JobRole,RiskScore,RiskLevel,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,ONET_Title,ONET_Confidence,SkillGapCount,SkillGapSeverity,Top3Recommendations
36,Research & Development,Healthcare Representative,0.0199,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,1.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
38,Sales,Manager,0.4166,HIGH,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
39,Research & Development,Laboratory Technician,0.4358,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,10.0,HIGH,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar
40,Research & Development,Healthcare Representative,0.0429,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,1.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration
41,Research & Development,Laboratory Technician,0.4091,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
42,Sales,Sales Representative,0.1609,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,3.0,LOW,"Continuous Professional Learning & Rapid Skill Acquisition Frameworks; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
45,Research & Development,Research Scientist,0.6496,HIGH,,,,Computer and Information Research Scientists,medium,3.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
46,Research & Development,Research Scientist,0.0076,LOW,,,,Computer and Information Research Scientists,medium,3.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
47,Sales,Sales Representative,0.8854,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,3.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub; Advanced Statistical Inference & Predictive Modeling using IBM SPSS
49,Sales,Sales Representative,0.2864,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,3.0,LOW,"macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub; Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp"
51,Research & Development,Research Scientist,0.7727,HIGH,,,,Computer and Information Research Scientists,medium,7.0,HIGH,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
52,Sales,Sales Executive,0.1859,LOW,,,,Sales Managers,low,3.0,LOW,Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Creative Cloud Bootcamp: Multi-App Visual Design & Asset Management; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
53,Research & Development,Laboratory Technician,0.1599,LOW,,,,Medical and Clinical Laboratory Technicians,medium,3.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track; Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp
54,Research & Development,Laboratory Technician,0.1726,LOW,,,,Medical and Clinical Laboratory Technicians,medium,6.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
55,Research & Development,Laboratory Technician,0.9511,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,6.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Google Workspace Collaboration: Document Co-Authoring & Cloud Governance
56,Sales,Sales Executive,0.3081,LOW,,,,Sales Managers,low,4.0,MEDIUM,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Strategic Problem Solving & Root Cause Decision Analysis Seminar; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
57,Research & Development,Laboratory Technician,0.2231,LOW,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar
58,Research & Development,Research Director,0.1904,LOW,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
60,Sales,Sales Executive,0.398,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
61,Research & Development,Research Scientist,0.6036,HIGH,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
62,Sales,Sales Executive,0.6123,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
63,Research & Development,Laboratory Technician,0.0995,LOW,,,,Medical and Clinical Laboratory Technicians,medium,6.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
64,Research & Development,Laboratory Technician,0.9384,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,7.0,HIGH,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
65,Research & Development,Laboratory Technician,0.8835,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,7.0,HIGH,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
68,Sales,Sales Executive,0.6573,HIGH,,,,Sales Managers,low,3.0,LOW,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Java & Multi-Language Software Development with Eclipse IDE & Git Plugins; B2B Social Media Marketing, Meta Business Suite & Targeted Outreach Campaigns"
70,Research & Development,Healthcare Representative,0.4347,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,7.0,HIGH,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
72,Sales,Sales Executive,0.9103,HIGH,,,,Sales Managers,low,5.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar
73,Research & Development,Research Director,0.2728,LOW,,,,Natural Sciences Managers,low,1.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration
74,Sales,Sales Executive,0.4525,HIGH,,,,Sales Managers,low,3.0,LOW,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
75,Research & Development,Laboratory Technician,0.8389,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,6.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
76,Research & Development,Laboratory Technician,0.0782,LOW,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
77,Research & Development,Manufacturing Director,0.034,LOW,,,,Industrial Production Managers,low,1.0,LOW,Commercial Image Retouching & Asset Production with Adobe Photoshop
78,Research & Development,Manufacturing Director,0.4177,HIGH,,,,Industrial Production Managers,low,2.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Corporate Layout Design, Multi-Page Publishing & Pitch Decks with InDesign"
79,Research & Development,Laboratory Technician,0.694,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration
80,Research & Development,Research Director,0.4905,HIGH,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
81,Sales,Sales Executive,0.4288,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
83,Research & Development,Healthcare Representative,0.069,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,0.0,LOW,None - No skill gaps identified
84,Research & Development,Manager,0.0477,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
85,Research & Development,Manufacturing Director,0.4479,HIGH,,,,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
86,Research & Development,Research Scientist,0.0421,LOW,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
88,Research & Development,Research Scientist,0.515,HIGH,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability; AWS Compute Architecture: Scalable EC2 Fleet Management & Auto-Scaling; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift
90,Research & Development,Research Scientist,0.7119,HIGH,,,,Computer and Information Research Scientists,medium,7.0,HIGH,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
91,Sales,Sales Executive,0.4964,HIGH,,,,Sales Managers,low,2.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop
94,Research & Development,Research Scientist,0.0284,LOW,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
95,Research & Development,Research Scientist,0.2256,LOW,,,,Computer and Information Research Scientists,medium,6.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks
96,Research & Development,Research Scientist,0.0488,LOW,,,,Computer and Information Research Scientists,medium,0.0,LOW,None - No skill gaps identified
97,Research & Development,Laboratory Technician,0.4477,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Google Workspace Collaboration: Document Co-Authoring & Cloud Governance; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
98,Research & Development,Manufacturing Director,0.0297,LOW,,,,Industrial Production Managers,low,1.0,LOW,"Corporate Layout Design, Multi-Page Publishing & Pitch Decks with InDesign"
100,Sales,Sales Executive,0.2707,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
101,Research & Development,Research Director,0.0333,LOW,,,,Natural Sciences Managers,low,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar
102,Research & Development,Research Director,0.1806,LOW,,,,Natural Sciences Managers,low,3.0,LOW,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Advanced Statistical Inference & Predictive Modeling using IBM SPSS"
103,Human Resources,Human Resources,0.5938,HIGH,,,,Human Resources Specialists,medium,6.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
104,Research & Development,Laboratory Technician,0.6584,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,"Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
105,Research & Development,Research Scientist,0.1929,LOW,,,,Computer and Information Research Scientists,medium,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
106,Sales,Sales Executive,0.049,LOW,,,,Sales Managers,low,4.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Adobe Creative Cloud Bootcamp: Multi-App Visual Design & Asset Management"
107,Research & Development,Research Scientist,0.0624,LOW,,,,Computer and Information Research Scientists,medium,0.0,LOW,None - No skill gaps identified
110,Research & Development,Manufacturing Director,0.2051,LOW,,,,Industrial Production Managers,low,4.0,MEDIUM,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Motion Graphics, Video Storytelling & Product Animation with After Effects"
112,Research & Development,Manufacturing Director,0.049,LOW,,,,Industrial Production Managers,low,4.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop
113,Sales,Sales Representative,0.8042,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,5.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
116,Research & Development,Laboratory Technician,0.0697,LOW,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track
117,Research & Development,Healthcare Representative,0.0703,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,Business & Technical Writing: Structuring Executive Summaries & Proposals; Advanced Statistical Inference & Predictive Modeling using IBM SPSS
118,Sales,Sales Executive,0.1942,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
119,Research & Development,Healthcare Representative,0.3192,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,0.0,LOW,None - No skill gaps identified
120,Sales,Sales Executive,0.7043,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
121,Sales,Sales Executive,0.2718,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
124,Research & Development,Healthcare Representative,0.6855,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,0.0,LOW,None - No skill gaps identified
125,Sales,Sales Executive,0.4209,HIGH,,,,Sales Managers,low,1.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
126,Research & Development,Research Director,0.1298,LOW,,,,Natural Sciences Managers,low,2.0,LOW,Spatial Data Analytics & Geospatial Mapping with ESRI ArcGIS Pro; Advanced Statistical Inference & Predictive Modeling using IBM SPSS
128,Sales,Sales Executive,0.2888,LOW,,,,Sales Managers,low,4.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar
129,Sales,Sales Executive,0.1541,LOW,,,,Sales Managers,low,3.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
131,Sales,Sales Executive,0.0272,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
132,Research & Development,Laboratory Technician,0.3245,LOW,,,,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
133,Human Resources,Human Resources,0.7318,HIGH,,,,Human Resources Specialists,medium,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Adobe Creative Cloud Bootcamp: Multi-App Visual Design & Asset Management
134,Research & Development,Research Scientist,0.2607,LOW,,,,Computer and Information Research Scientists,medium,6.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
137,Research & Development,Laboratory Technician,0.8615,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track"
138,Research & Development,Research Scientist,0.0373,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
139,Research & Development,Healthcare Representative,0.0109,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,8.0,HIGH,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals
140,Human Resources,Manager,0.0176,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
141,Research & Development,Research Director,0.2181,LOW,,,,Natural Sciences Managers,low,4.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
142,Sales,Sales Executive,0.8884,HIGH,,,,Sales Managers,low,7.0,HIGH,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar
143,Research & Development,Research Scientist,0.0825,LOW,,,,Computer and Information Research Scientists,medium,3.0,LOW,Technical & Regulatory Documentation Analysis Workshop; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift
144,Research & Development,Laboratory Technician,0.6469,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
145,Research & Development,Healthcare Representative,0.6399,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,1.0,LOW,Continuous Professional Learning & Rapid Skill Acquisition Frameworks
147,Research & Development,Laboratory Technician,0.9157,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration
148,Human Resources,Manager,0.203,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
150,Research & Development,Laboratory Technician,0.4303,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,3.0,LOW,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling; Time Management, Calendar Optimization & Executive Email Triage in Outlook"
151,Research & Development,Research Scientist,0.1952,LOW,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks
152,Sales,Sales Executive,0.2933,LOW,,,,Sales Managers,low,2.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Java & Multi-Language Software Development with Eclipse IDE & Git Plugins
153,Research & Development,Manager,0.1032,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
