# SYNTHETIC DATA — employee current-skill possession was not present in any source file and has been simulated using a tenure/training-based heuristic for MVP demonstration purposes only. This must NOT be presented to stakeholders as real observed skill data. Real deployment requires an actual skills inventory (HRIS export, LMS completion records, or self-assessment survey).
EmployeeNumber,JobRole,missing_skills,gap_count,total_required,gap_percentage,severity
64,Laboratory Technician,Active Listening; Speaking; Science; Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook,7,10,0.7,HIGH
65,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Science; Google Docs; Microsoft Office software; Microsoft Outlook,7,10,0.7,HIGH
68,Sales Executive,Speaking; Eclipse IDE; Facebook,3,10,0.3,LOW
70,Healthcare Representative,Active Listening; Writing; Active Learning; HubSpot software; IBM SPSS Statistics; Microsoft Excel; Microsoft Office software,7,10,0.7,HIGH
72,Sales Executive,Active Listening; Reading Comprehension; Critical Thinking; Bentley MicroStation; Eclipse IDE,5,10,0.5,MEDIUM
73,Research Director,Active Listening,1,10,0.1,LOW
74,Sales Executive,Speaking; Reading Comprehension; Adobe Acrobat,3,10,0.3,LOW
75,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Science; Microsoft Excel; Microsoft Outlook,6,10,0.6,MEDIUM
76,Laboratory Technician,Active Listening; Science,2,10,0.2,LOW
77,Manufacturing Director,Adobe Photoshop,1,10,0.1,LOW
78,Manufacturing Director,Adobe Acrobat; Adobe InDesign,2,10,0.2,LOW
79,Laboratory Technician,Active Listening,1,10,0.1,LOW
80,Research Director,None,0,10,0.0,LOW
81,Sales Executive,None,0,10,0.0,LOW
83,Healthcare Representative,None,0,10,0.0,LOW
85,Manufacturing Director,None,0,10,0.0,LOW
86,Research Scientist,Critical Thinking; Reading Comprehension; Active Listening; Speaking; Amazon Elastic Compute Cloud EC2,5,10,0.5,MEDIUM
88,Research Scientist,Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation,4,10,0.4,MEDIUM
90,Research Scientist,Reading Comprehension; Active Listening; Speaking; Active Learning; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,7,10,0.7,HIGH
91,Sales Executive,Speaking; Reading Comprehension,2,10,0.2,LOW
94,Research Scientist,Reading Comprehension; Amazon DynamoDB; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,4,10,0.4,MEDIUM
95,Research Scientist,Critical Thinking; Speaking; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation,6,10,0.6,MEDIUM
96,Research Scientist,None,0,10,0.0,LOW
97,Laboratory Technician,Reading Comprehension; Google Docs; Microsoft Excel; Microsoft Outlook,4,10,0.4,MEDIUM
98,Manufacturing Director,Adobe InDesign,1,10,0.1,LOW
100,Sales Executive,None,0,10,0.0,LOW
101,Research Director,Reading Comprehension; Active Listening; Critical Thinking; Adobe Acrobat; ESRI ArcGIS software,5,10,0.5,MEDIUM
102,Research Director,Active Listening; Adobe Acrobat; IBM SPSS Statistics,3,10,0.3,LOW
103,Human Resources,Reading Comprehension; Active Listening; Adobe Acrobat; Adobe Creative Cloud software; Adobe InDesign; Adobe Photoshop,6,10,0.6,MEDIUM
104,Laboratory Technician,Microsoft Excel,1,10,0.1,LOW
105,Research Scientist,Reading Comprehension; Active Learning,2,10,0.2,LOW
106,Sales Executive,Active Listening; Adobe Acrobat; Adobe Creative Cloud software; Facebook,4,10,0.4,MEDIUM
107,Research Scientist,None,0,10,0.0,LOW
110,Manufacturing Director,Critical Thinking; Adobe Acrobat; Adobe After Effects; Adobe InDesign,4,10,0.4,MEDIUM
112,Manufacturing Director,Critical Thinking; Speaking; Reading Comprehension; Active Listening,4,10,0.4,MEDIUM
113,Sales Representative,Active Listening; Active Learning; Apple macOS; Microsoft Excel; Microsoft Office software,5,10,0.5,MEDIUM
116,Laboratory Technician,MEDITECH software,1,10,0.1,LOW
117,Healthcare Representative,Writing; IBM SPSS Statistics,2,10,0.2,LOW
118,Sales Executive,None,0,10,0.0,LOW
119,Healthcare Representative,None,0,10,0.0,LOW
120,Sales Executive,None,0,10,0.0,LOW
121,Sales Executive,None,0,10,0.0,LOW
124,Healthcare Representative,None,0,10,0.0,LOW
125,Sales Executive,Adobe Acrobat,1,10,0.1,LOW
126,Research Director,ESRI ArcGIS software; IBM SPSS Statistics,2,10,0.2,LOW
128,Sales Executive,Active Listening; Reading Comprehension; Critical Thinking; Eclipse IDE,4,10,0.4,MEDIUM
129,Sales Executive,Speaking; Reading Comprehension; Bentley MicroStation,3,10,0.3,LOW
131,Sales Executive,None,0,10,0.0,LOW
132,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Microsoft Outlook,4,10,0.4,MEDIUM
133,Human Resources,Reading Comprehension; Adobe Creative Cloud software,2,10,0.2,LOW
134,Research Scientist,Critical Thinking; Reading Comprehension; Active Listening; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,6,10,0.6,MEDIUM
137,Laboratory Technician,Active Listening; Science; MEDITECH software; Microsoft Outlook,4,10,0.4,MEDIUM
138,Research Scientist,Amazon Web Services AWS CloudFormation,1,10,0.1,LOW
139,Healthcare Representative,Speaking; Reading Comprehension; Writing; Active Learning; Apple macOS; HubSpot software; IBM SPSS Statistics; Microsoft Office software,8,10,0.8,HIGH
141,Research Director,Reading Comprehension; Active Listening; Adobe Acrobat; IBM SPSS Statistics,4,10,0.4,MEDIUM
142,Sales Executive,Active Listening; Reading Comprehension; Critical Thinking; Monitoring; Adobe Creative Cloud software; Bentley MicroStation; Facebook,7,10,0.7,HIGH
143,Research Scientist,Reading Comprehension; Amazon DynamoDB; Amazon Redshift,3,10,0.3,LOW
144,Laboratory Technician,Active Listening; Speaking; Science; Google Docs; Microsoft Office software,5,10,0.5,MEDIUM
145,Healthcare Representative,Active Learning,1,10,0.1,LOW
147,Laboratory Technician,Active Listening,1,10,0.1,LOW
150,Laboratory Technician,Science; Microsoft Excel; Microsoft Outlook,3,10,0.3,LOW
151,Research Scientist,Critical Thinking; Speaking; Active Learning; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation,5,10,0.5,MEDIUM
152,Sales Executive,Active Listening; Eclipse IDE,2,10,0.2,LOW
154,Sales Executive,Speaking; Monitoring,2,10,0.2,LOW
155,Laboratory Technician,Reading Comprehension; Speaking; Science; Google Docs; Microsoft Excel,5,10,0.5,MEDIUM
159,Research Scientist,Reading Comprehension,1,10,0.1,LOW
160,Sales Executive,Adobe Creative Cloud software,1,10,0.1,LOW
161,Research Scientist,Critical Thinking; Active Listening; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,7,10,0.7,HIGH
162,Research Director,None,0,10,0.0,LOW
163,Sales Executive,Active Listening; Adobe Acrobat; Adobe Creative Cloud software,3,10,0.3,LOW
164,Research Scientist,Reading Comprehension; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
165,Healthcare Representative,Active Listening,1,10,0.1,LOW
167,Sales Representative,Speaking; Writing; Apple macOS; HubSpot software; IBM SPSS Statistics; Microsoft Excel,6,10,0.6,MEDIUM
169,Laboratory Technician,Reading Comprehension; Google Docs; MEDITECH software; Microsoft Outlook,4,10,0.4,MEDIUM
170,Manufacturing Director,None,0,10,0.0,LOW
171,Research Scientist,Critical Thinking; Speaking; Amazon DynamoDB; Amazon Web Services AWS CloudFormation,4,10,0.4,MEDIUM
174,Sales Executive,Active Listening; Monitoring; Adobe Creative Cloud software; Eclipse IDE,4,10,0.4,MEDIUM
175,Sales Executive,Active Listening; Speaking; Reading Comprehension; Critical Thinking; Monitoring; Adobe Acrobat; Eclipse IDE; Facebook,8,10,0.8,HIGH
176,Sales Executive,None,0,10,0.0,LOW
177,Human Resources,None,0,10,0.0,LOW
178,Manufacturing Director,Critical Thinking; Speaking; Monitoring; Active Listening; Adobe InDesign; Autodesk AutoCAD,6,10,0.6,MEDIUM
179,Manufacturing Director,Critical Thinking; Speaking,2,10,0.2,LOW
182,Sales Executive,None,0,10,0.0,LOW
183,Sales Executive,Speaking; Monitoring; Adobe Acrobat; Adobe Creative Cloud software; Bentley MicroStation; Facebook,6,10,0.6,MEDIUM
184,Human Resources,None,0,10,0.0,LOW
190,Laboratory Technician,Critical Thinking; Science; Microsoft Excel; Microsoft Office software,4,10,0.4,MEDIUM
192,Research Scientist,Reading Comprehension; Speaking; Active Learning,3,10,0.3,LOW
193,Research Scientist,Active Listening; Speaking; Active Learning; Amazon Web Services AWS CloudFormation,4,10,0.4,MEDIUM
194,Research Scientist,Critical Thinking; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2,3,10,0.3,LOW
195,Sales Executive,Active Listening; Bentley MicroStation,2,10,0.2,LOW
197,Research Scientist,Critical Thinking; Active Listening; Amazon DynamoDB,3,10,0.3,LOW
198,Laboratory Technician,Critical Thinking; MEDITECH software; Microsoft Office software,3,10,0.3,LOW
200,Laboratory Technician,Google Docs; Microsoft Outlook,2,10,0.2,LOW
201,Laboratory Technician,Speaking; Science; MEDITECH software; Microsoft Excel; Microsoft Office software; Microsoft Outlook,6,10,0.6,MEDIUM
202,Research Scientist,None,0,10,0.0,LOW
204,Sales Executive,Monitoring; Adobe Acrobat; Bentley MicroStation,3,10,0.3,LOW
205,Sales Representative,None,0,10,0.0,LOW
206,Laboratory Technician,Reading Comprehension,1,10,0.1,LOW
207,Sales Executive,Reading Comprehension; Adobe Acrobat,2,10,0.2,LOW
208,Manufacturing Director,Active Listening; Adobe After Effects; Adobe Photoshop,3,10,0.3,LOW
211,Manufacturing Director,Critical Thinking; Speaking; Monitoring; Adobe Acrobat; Adobe After Effects; Adobe InDesign; Adobe Photoshop,7,10,0.7,HIGH
214,Research Scientist,Critical Thinking; Active Listening; Amazon Redshift,3,10,0.3,LOW
215,Sales Executive,None,0,10,0.0,LOW
216,Sales Representative,Microsoft Office software,1,10,0.1,LOW
217,Research Scientist,Critical Thinking; Reading Comprehension; Active Listening; Amazon Redshift; Amazon Web Services AWS software,5,10,0.5,MEDIUM
218,Research Scientist,Reading Comprehension; Active Learning; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,4,10,0.4,MEDIUM
221,Research Scientist,Active Listening; Amazon Redshift,2,10,0.2,LOW
223,Healthcare Representative,Active Listening; Active Learning; HubSpot software,3,10,0.3,LOW
224,Research Scientist,Critical Thinking; Reading Comprehension; Active Listening; Speaking; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,7,10,0.7,HIGH
227,Research Scientist,None,0,10,0.0,LOW
228,Sales Executive,None,0,10,0.0,LOW
230,Sales Executive,Monitoring,1,10,0.1,LOW
231,Research Scientist,Critical Thinking; Reading Comprehension; Active Learning; Amazon Web Services AWS software,4,10,0.4,MEDIUM
233,Research Scientist,Amazon Redshift,1,10,0.1,LOW
235,Sales Representative,Active Listening; Speaking; Apple macOS; HubSpot software; IBM SPSS Statistics; Microsoft Excel; Microsoft Office software,7,10,0.7,HIGH
238,Laboratory Technician,Speaking,1,10,0.1,LOW
239,Laboratory Technician,Microsoft Office software,1,10,0.1,LOW
240,Sales Executive,Speaking; Adobe Acrobat; Bentley MicroStation; Eclipse IDE; Facebook,5,10,0.5,MEDIUM
241,Research Scientist,Amazon DynamoDB; Amazon Elastic Compute Cloud EC2,2,10,0.2,LOW
242,Research Scientist,Critical Thinking; Active Listening; Active Learning; Amazon DynamoDB; Amazon Redshift; Amazon Web Services AWS software,6,10,0.6,MEDIUM
243,Laboratory Technician,Active Listening; Critical Thinking; Speaking; Science; Microsoft Outlook,5,10,0.5,MEDIUM
244,Sales Executive,Speaking,1,10,0.1,LOW
245,Laboratory Technician,Microsoft Office software,1,10,0.1,LOW
246,Research Scientist,Critical Thinking; Speaking; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,5,10,0.5,MEDIUM
247,Research Scientist,Active Listening; Amazon DynamoDB; Amazon Redshift; Amazon Web Services AWS CloudFormation,4,10,0.4,MEDIUM
248,Sales Representative,IBM SPSS Statistics; Microsoft Excel,2,10,0.2,LOW
249,Laboratory Technician,Active Listening; Google Docs,2,10,0.2,LOW
250,Manufacturing Director,Critical Thinking; Speaking; Monitoring; Adobe Photoshop,4,10,0.4,MEDIUM
252,Research Scientist,Active Learning; Amazon Elastic Compute Cloud EC2,2,10,0.2,LOW
254,Research Director,None,0,10,0.0,LOW
256,Manufacturing Director,Reading Comprehension,1,10,0.1,LOW
258,Healthcare Representative,None,0,10,0.0,LOW
260,Research Scientist,None,0,10,0.0,LOW
261,Manufacturing Director,Critical Thinking; Speaking; Adobe Acrobat; Adobe After Effects,4,10,0.4,MEDIUM
262,Research Scientist,Reading Comprehension; Amazon DynamoDB; Amazon Redshift,3,10,0.3,LOW
267,Research Scientist,Amazon Redshift,1,10,0.1,LOW
269,Laboratory Technician,Reading Comprehension; Microsoft Office software,2,10,0.2,LOW
270,Manufacturing Director,Active Listening; Adobe Photoshop,2,10,0.2,LOW
271,Manufacturing Director,Speaking; Monitoring; Reading Comprehension; Active Listening; Adobe After Effects; Adobe Photoshop; Autodesk AutoCAD,7,10,0.7,HIGH
273,Manufacturing Director,Active Listening; Adobe Acrobat,2,10,0.2,LOW
274,Manufacturing Director,Critical Thinking; Monitoring; Reading Comprehension; Active Listening; Adobe Acrobat; Adobe After Effects; Adobe InDesign; Autodesk AutoCAD,8,10,0.8,HIGH
275,Manufacturing Director,Critical Thinking; Speaking; Reading Comprehension; Adobe Photoshop; Autodesk AutoCAD,5,10,0.5,MEDIUM
277,Research Scientist,Active Listening; Amazon Web Services AWS software,2,10,0.2,LOW
281,Laboratory Technician,Critical Thinking; MEDITECH software,2,10,0.2,LOW
282,Healthcare Representative,Speaking; Reading Comprehension; Apple macOS; HubSpot software; IBM SPSS Statistics,5,10,0.5,MEDIUM
283,Sales Executive,None,0,10,0.0,LOW
284,Research Scientist,Speaking; Active Learning; Amazon DynamoDB; Amazon Redshift,4,10,0.4,MEDIUM
286,Laboratory Technician,None,0,10,0.0,LOW
287,Healthcare Representative,Writing; Active Learning; Apple macOS; Microsoft Office software,4,10,0.4,MEDIUM
288,Healthcare Representative,Reading Comprehension,1,10,0.1,LOW
291,Sales Executive,None,0,10,0.0,LOW
292,Manufacturing Director,None,0,10,0.0,LOW
293,Sales Executive,Active Listening; Monitoring; Adobe Creative Cloud software,3,10,0.3,LOW
296,Research Director,None,0,10,0.0,LOW
297,Research Scientist,Active Listening; Amazon Redshift,2,10,0.2,LOW
299,Sales Executive,Active Listening; Reading Comprehension; Bentley MicroStation,3,10,0.3,LOW
300,Research Scientist,Speaking,1,10,0.1,LOW
302,Sales Executive,None,0,10,0.0,LOW
303,Sales Executive,Critical Thinking; Monitoring,2,10,0.2,LOW
304,Laboratory Technician,None,0,10,0.0,LOW
305,Research Scientist,Critical Thinking; Speaking; Active Learning; Amazon DynamoDB; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,6,10,0.6,MEDIUM
306,Research Director,Critical Thinking,1,10,0.1,LOW
307,Sales Executive,Speaking,1,10,0.1,LOW
308,Manufacturing Director,Critical Thinking; Reading Comprehension; Active Listening; Adobe After Effects; Adobe InDesign; Autodesk AutoCAD,6,10,0.6,MEDIUM
309,Research Scientist,Speaking; Active Learning; Amazon Web Services AWS software,3,10,0.3,LOW
311,Sales Representative,Reading Comprehension; Active Learning; Microsoft Excel,3,10,0.3,LOW
312,Sales Executive,None,0,10,0.0,LOW
314,Sales Executive,None,0,10,0.0,LOW
315,Research Scientist,Active Listening; Speaking; Amazon Web Services AWS software,3,10,0.3,LOW
316,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Google Docs; MEDITECH software; Microsoft Office software,6,10,0.6,MEDIUM
321,Human Resources,Speaking; Writing; Adobe Acrobat; Adobe Illustrator; Adobe InDesign; Adobe Photoshop,6,10,0.6,MEDIUM
325,Laboratory Technician,Science; Google Docs; MEDITECH software; Microsoft Excel; Microsoft Office software; Microsoft Outlook,6,10,0.6,MEDIUM
328,Laboratory Technician,Active Listening,1,10,0.1,LOW
330,Sales Representative,Active Listening; Apple macOS; IBM SPSS Statistics; Microsoft Office software,4,10,0.4,MEDIUM
331,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Science; MEDITECH software; Microsoft Office software,6,10,0.6,MEDIUM
332,Laboratory Technician,Reading Comprehension; Active Listening; Microsoft Excel,3,10,0.3,LOW
333,Sales Executive,Active Listening; Reading Comprehension; Critical Thinking; Monitoring; Adobe Acrobat; Adobe Creative Cloud software,6,10,0.6,MEDIUM
334,Research Scientist,Critical Thinking; Active Listening; Speaking; Active Learning; Amazon DynamoDB; Amazon Redshift; Amazon Web Services AWS CloudFormation,7,10,0.7,HIGH
335,Research Scientist,Reading Comprehension,1,10,0.1,LOW
337,Research Director,Science; Reading Comprehension; Active Listening; Monitoring; Adobe Acrobat; Adobe Photoshop; ESRI ArcGIS software,7,10,0.7,HIGH
338,Research Scientist,Speaking; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation,6,10,0.6,MEDIUM
339,Manufacturing Director,Adobe After Effects,1,10,0.1,LOW
340,Research Scientist,Critical Thinking,1,10,0.1,LOW
341,Manufacturing Director,Critical Thinking; Speaking; Monitoring; Active Listening; Adobe InDesign,5,10,0.5,MEDIUM
342,Manufacturing Director,Speaking; Reading Comprehension; Active Listening,3,10,0.3,LOW
343,Healthcare Representative,Apple macOS,1,10,0.1,LOW
346,Research Scientist,Speaking,1,10,0.1,LOW
347,Research Scientist,Critical Thinking; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation,5,10,0.5,MEDIUM
349,Sales Executive,Active Listening; Speaking; Reading Comprehension; Critical Thinking; Monitoring; Adobe Creative Cloud software,6,10,0.6,MEDIUM
350,Manufacturing Director,Autodesk AutoCAD,1,10,0.1,LOW
351,Laboratory Technician,None,0,10,0.0,LOW
352,Research Director,None,0,10,0.0,LOW
353,Research Scientist,Critical Thinking; Active Listening; Active Learning; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,5,10,0.5,MEDIUM
355,Laboratory Technician,Science; Microsoft Office software,2,10,0.2,LOW
359,Laboratory Technician,Google Docs,1,10,0.1,LOW
361,Sales Executive,Reading Comprehension; Adobe Acrobat; Bentley MicroStation; Facebook,4,10,0.4,MEDIUM
362,Laboratory Technician,Critical Thinking; Science,2,10,0.2,LOW
364,Laboratory Technician,Reading Comprehension; Critical Thinking; Speaking,3,10,0.3,LOW
366,Sales Executive,Speaking; Reading Comprehension; Monitoring; Adobe Creative Cloud software; Bentley MicroStation; Eclipse IDE; Facebook,7,10,0.7,HIGH
367,Healthcare Representative,Active Listening; Speaking,2,10,0.2,LOW
369,Healthcare Representative,Speaking; Reading Comprehension; Writing; Apple macOS; IBM SPSS Statistics; Microsoft Office software,6,10,0.6,MEDIUM
372,Healthcare Representative,Apple macOS,1,10,0.1,LOW
373,Laboratory Technician,Microsoft Office software,1,10,0.1,LOW
377,Research Scientist,Critical Thinking; Reading Comprehension; Speaking; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,6,10,0.6,MEDIUM
378,Sales Executive,Speaking; Adobe Acrobat,2,10,0.2,LOW
379,Research Scientist,Critical Thinking; Active Learning; Amazon Redshift; Amazon Web Services AWS software,4,10,0.4,MEDIUM
380,Research Director,Science; Reading Comprehension; Monitoring; Adobe Acrobat; Adobe Photoshop; IBM SPSS Statistics; Microsoft Access,7,10,0.7,HIGH
382,Sales Executive,None,0,10,0.0,LOW
384,Manufacturing Director,Reading Comprehension; Adobe Acrobat,2,10,0.2,LOW
385,Research Director,None,0,10,0.0,LOW
386,Research Director,Reading Comprehension; Adobe Photoshop,2,10,0.2,LOW
387,Sales Executive,None,0,10,0.0,LOW
388,Sales Executive,None,0,10,0.0,LOW
389,Laboratory Technician,None,0,10,0.0,LOW
390,Healthcare Representative,Active Listening; Writing; Microsoft Excel,3,10,0.3,LOW
391,Research Scientist,Amazon DynamoDB,1,10,0.1,LOW
392,Laboratory Technician,Reading Comprehension; Active Listening; Science; Google Docs; MEDITECH software; Microsoft Excel; Microsoft Office software; Microsoft Outlook,8,10,0.8,HIGH
393,Healthcare Representative,Reading Comprehension; Writing; HubSpot software; IBM SPSS Statistics,4,10,0.4,MEDIUM
394,Laboratory Technician,Science; MEDITECH software; Microsoft Excel; Microsoft Outlook,4,10,0.4,MEDIUM
395,Research Scientist,Reading Comprehension; Amazon Web Services AWS CloudFormation,2,10,0.2,LOW
396,Research Director,Active Listening; Monitoring,2,10,0.2,LOW
397,Research Scientist,Reading Comprehension,1,10,0.1,LOW
399,Sales Representative,Active Learning; HubSpot software; Microsoft Excel; Microsoft Office software,4,10,0.4,MEDIUM
401,Sales Executive,Speaking; Monitoring; Adobe Acrobat,3,10,0.3,LOW
403,Research Scientist,Critical Thinking; Amazon Redshift; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
404,Sales Executive,None,0,10,0.0,LOW
405,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Science; Google Docs; MEDITECH software; Microsoft Excel; Microsoft Office software,8,10,0.8,HIGH
406,Sales Executive,None,0,10,0.0,LOW
407,Laboratory Technician,Active Listening; Science; MEDITECH software; Microsoft Excel; Microsoft Office software,5,10,0.5,MEDIUM
408,Manufacturing Director,Adobe Acrobat; Autodesk AutoCAD,2,10,0.2,LOW
411,Sales Representative,Reading Comprehension; Writing; Active Learning; Apple macOS; Microsoft Excel,5,10,0.5,MEDIUM
412,Healthcare Representative,Speaking; Reading Comprehension; Active Learning; HubSpot software; Microsoft Excel; Microsoft Office software,6,10,0.6,MEDIUM
416,Sales Executive,Speaking; Eclipse IDE,2,10,0.2,LOW
417,Healthcare Representative,Writing; Apple macOS,2,10,0.2,LOW
419,Laboratory Technician,None,0,10,0.0,LOW
420,Sales Executive,None,0,10,0.0,LOW
421,Research Director,Adobe Acrobat; Adobe Photoshop,2,10,0.2,LOW
422,Healthcare Representative,Speaking; Reading Comprehension; Writing; HubSpot software,4,10,0.4,MEDIUM
423,Research Scientist,Speaking,1,10,0.1,LOW
424,Human Resources,Speaking; Active Listening; Writing; Adobe Acrobat; Adobe Creative Cloud software; Adobe Illustrator,6,10,0.6,MEDIUM
425,Laboratory Technician,None,0,10,0.0,LOW
426,Research Scientist,Reading Comprehension; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,5,10,0.5,MEDIUM
430,Laboratory Technician,None,0,10,0.0,LOW
431,Healthcare Representative,Speaking; HubSpot software,2,10,0.2,LOW
433,Research Scientist,Speaking,1,10,0.1,LOW
