# SYNTHETIC DATA — employee current-skill possession was not present in any source file and has been simulated using a tenure/training-based heuristic for MVP demonstration purposes only. This must NOT be presented to stakeholders as real observed skill data. Real deployment requires an actual skills inventory (HRIS export, LMS completion records, or self-assessment survey).
EmployeeNumber,skill_name,skill_type,has_skill
21,Active Learning,essential,1
21,Amazon DynamoDB,software,1
21,Amazon Elastic Compute Cloud EC2,software,1
21,Amazon Redshift,software,1
21,Amazon Web Services AWS CloudFormation,software,1
21,Amazon Web Services AWS software,software,1
22,Reading Comprehension,essential,0
22,Active Listening,essential,1
22,Critical Thinking,essential,0
22,Speaking,essential,1
22,Science,essential,0
22,Google Docs,software,1
22,MEDITECH software,software,0
22,Microsoft Excel,software,1
22,Microsoft Office software,software,0
22,Microsoft Outlook,software,1
23,N/A - Department-level analysis only,N/A,0
24,Critical Thinking,essential,1
24,Reading Comprehension,essential,1
24,Active Listening,essential,0
24,Speaking,essential,0
24,Active Learning,essential,1
24,Amazon DynamoDB,software,0
24,Amazon Elastic Compute Cloud EC2,software,0
24,Amazon Redshift,software,1
24,Amazon Web Services AWS CloudFormation,software,1
24,Amazon Web Services AWS software,software,1
26,Critical Thinking,essential,1
26,Speaking,essential,0
26,Monitoring,essential,0
26,Reading Comprehension,essential,1
26,Active Listening,essential,1
26,Adobe Acrobat,software,1
26,Adobe After Effects,software,1
26,Adobe InDesign,software,0
26,Adobe Photoshop,software,0
26,Autodesk AutoCAD,software,0
27,Active Listening,essential,1
27,Speaking,essential,1
27,Reading Comprehension,essential,1
27,Writing,essential,0
27,Active Learning,essential,1
27,Apple macOS,software,1
27,HubSpot software,software,1
27,IBM SPSS Statistics,software,1
27,Microsoft Excel,software,1
27,Microsoft Office software,software,1
28,Science,essential,1
28,Reading Comprehension,essential,1
28,Active Listening,essential,1
28,Critical Thinking,essential,1
28,Monitoring,essential,1
28,Adobe Acrobat,software,1
28,Adobe Photoshop,software,1
28,ESRI ArcGIS software,software,1
28,IBM SPSS Statistics,software,1
28,Microsoft Access,software,1
30,Critical Thinking,essential,0
30,Reading Comprehension,essential,1
30,Active Listening,essential,1
30,Speaking,essential,1
30,Active Learning,essential,1
30,Amazon DynamoDB,software,1
30,Amazon Elastic Compute Cloud EC2,software,0
30,Amazon Redshift,software,1
30,Amazon Web Services AWS CloudFormation,software,0
30,Amazon Web Services AWS software,software,0
31,Critical Thinking,essential,0
31,Reading Comprehension,essential,1
31,Active Listening,essential,1
31,Speaking,essential,1
31,Active Learning,essential,1
31,Amazon DynamoDB,software,0
31,Amazon Elastic Compute Cloud EC2,software,1
31,Amazon Redshift,software,1
31,Amazon Web Services AWS CloudFormation,software,0
31,Amazon Web Services AWS software,software,1
32,N/A - Department-level analysis only,N/A,0
33,Critical Thinking,essential,1
33,Reading Comprehension,essential,0
33,Active Listening,essential,1
33,Speaking,essential,1
33,Active Learning,essential,1
33,Amazon DynamoDB,software,1
33,Amazon Elastic Compute Cloud EC2,software,1
33,Amazon Redshift,software,0
33,Amazon Web Services AWS CloudFormation,software,0
33,Amazon Web Services AWS software,software,1
35,Active Listening,essential,1
35,Speaking,essential,1
35,Reading Comprehension,essential,0
35,Critical Thinking,essential,1
35,Monitoring,essential,1
35,Adobe Acrobat,software,1
35,Adobe Creative Cloud software,software,0
35,Bentley MicroStation,software,1
35,Eclipse IDE,software,1
35,Facebook,software,1
36,Active Listening,essential,1
36,Speaking,essential,0
36,Reading Comprehension,essential,1
36,Writing,essential,1
36,Active Learning,essential,1
36,Apple macOS,software,1
36,HubSpot software,software,1
36,IBM SPSS Statistics,software,1
36,Microsoft Excel,software,1
36,Microsoft Office software,software,1
38,N/A - Department-level analysis only,N/A,0
39,Reading Comprehension,essential,0
39,Active Listening,essential,0
39,Critical Thinking,essential,0
39,Speaking,essential,0
39,Science,essential,0
39,Google Docs,software,0
39,MEDITECH software,software,0
39,Microsoft Excel,software,0
39,Microsoft Office software,software,0
39,Microsoft Outlook,software,0
40,Active Listening,essential,0
40,Speaking,essential,1
40,Reading Comprehension,essential,1
40,Writing,essential,1
40,Active Learning,essential,1
40,Apple macOS,software,1
40,HubSpot software,software,1
40,IBM SPSS Statistics,software,1
40,Microsoft Excel,software,1
40,Microsoft Office software,software,1
41,Reading Comprehension,essential,1
41,Active Listening,essential,1
41,Critical Thinking,essential,1
41,Speaking,essential,1
41,Science,essential,1
41,Google Docs,software,1
41,MEDITECH software,software,1
41,Microsoft Excel,software,1
41,Microsoft Office software,software,1
41,Microsoft Outlook,software,1
42,Active Listening,essential,1
42,Speaking,essential,1
42,Reading Comprehension,essential,1
42,Writing,essential,1
42,Active Learning,essential,0
42,Apple macOS,software,0
42,HubSpot software,software,1
42,IBM SPSS Statistics,software,1
42,Microsoft Excel,software,0
42,Microsoft Office software,software,1
45,Critical Thinking,essential,1
45,Reading Comprehension,essential,1
45,Active Listening,essential,1
45,Speaking,essential,0
45,Active Learning,essential,0
45,Amazon DynamoDB,software,0
45,Amazon Elastic Compute Cloud EC2,software,1
45,Amazon Redshift,software,1
45,Amazon Web Services AWS CloudFormation,software,1
45,Amazon Web Services AWS software,software,1
46,Critical Thinking,essential,1
46,Reading Comprehension,essential,0
46,Active Listening,essential,1
46,Speaking,essential,1
46,Active Learning,essential,0
46,Amazon DynamoDB,software,0
46,Amazon Elastic Compute Cloud EC2,software,1
46,Amazon Redshift,software,1
46,Amazon Web Services AWS CloudFormation,software,1
46,Amazon Web Services AWS software,software,1
47,Active Listening,essential,1
47,Speaking,essential,0
47,Reading Comprehension,essential,1
47,Writing,essential,1
47,Active Learning,essential,1
47,Apple macOS,software,1
47,HubSpot software,software,0
47,IBM SPSS Statistics,software,0
47,Microsoft Excel,software,1
47,Microsoft Office software,software,1
49,Active Listening,essential,1
49,Speaking,essential,1
49,Reading Comprehension,essential,1
49,Writing,essential,1
49,Active Learning,essential,1
49,Apple macOS,software,0
49,HubSpot software,software,0
49,IBM SPSS Statistics,software,1
49,Microsoft Excel,software,1
49,Microsoft Office software,software,0
51,Critical Thinking,essential,0
51,Reading Comprehension,essential,0
51,Active Listening,essential,0
51,Speaking,essential,1
51,Active Learning,essential,1
51,Amazon DynamoDB,software,0
51,Amazon Elastic Compute Cloud EC2,software,1
51,Amazon Redshift,software,0
51,Amazon Web Services AWS CloudFormation,software,0
51,Amazon Web Services AWS software,software,0
52,Active Listening,essential,1
52,Speaking,essential,1
52,Reading Comprehension,essential,1
52,Critical Thinking,essential,1
52,Monitoring,essential,0
52,Adobe Acrobat,software,1
52,Adobe Creative Cloud software,software,0
52,Bentley MicroStation,software,0
52,Eclipse IDE,software,1
52,Facebook,software,1
53,Reading Comprehension,essential,1
53,Active Listening,essential,1
53,Critical Thinking,essential,1
53,Speaking,essential,0
53,Science,essential,1
53,Google Docs,software,1
53,MEDITECH software,software,0
53,Microsoft Excel,software,1
53,Microsoft Office software,software,0
53,Microsoft Outlook,software,1
54,Reading Comprehension,essential,1
54,Active Listening,essential,0
54,Critical Thinking,essential,1
54,Speaking,essential,0
54,Science,essential,0
54,Google Docs,software,0
54,MEDITECH software,software,1
54,Microsoft Excel,software,1
54,Microsoft Office software,software,0
54,Microsoft Outlook,software,0
55,Reading Comprehension,essential,0
55,Active Listening,essential,1
55,Critical Thinking,essential,1
55,Speaking,essential,0
55,Science,essential,1
55,Google Docs,software,0
55,MEDITECH software,software,0
55,Microsoft Excel,software,1
55,Microsoft Office software,software,0
55,Microsoft Outlook,software,0
56,Active Listening,essential,1
56,Speaking,essential,0
56,Reading Comprehension,essential,1
56,Critical Thinking,essential,0
56,Monitoring,essential,1
56,Adobe Acrobat,software,0
56,Adobe Creative Cloud software,software,1
56,Bentley MicroStation,software,1
56,Eclipse IDE,software,0
56,Facebook,software,1
57,Reading Comprehension,essential,1
57,Active Listening,essential,0
57,Critical Thinking,essential,0
57,Speaking,essential,1
57,Science,essential,1
57,Google Docs,software,1
57,MEDITECH software,software,1
57,Microsoft Excel,software,1
57,Microsoft Office software,software,1
57,Microsoft Outlook,software,1
58,Science,essential,1
58,Reading Comprehension,essential,1
58,Active Listening,essential,1
58,Critical Thinking,essential,1
58,Monitoring,essential,1
58,Adobe Acrobat,software,1
58,Adobe Photoshop,software,1
58,ESRI ArcGIS software,software,1
58,IBM SPSS Statistics,software,1
58,Microsoft Access,software,1
60,Active Listening,essential,1
60,Speaking,essential,1
60,Reading Comprehension,essential,1
60,Critical Thinking,essential,1
60,Monitoring,essential,1
60,Adobe Acrobat,software,1
60,Adobe Creative Cloud software,software,1
60,Bentley MicroStation,software,1
60,Eclipse IDE,software,1
60,Facebook,software,1
61,Critical Thinking,essential,1
61,Reading Comprehension,essential,0
61,Active Listening,essential,1
61,Speaking,essential,1
61,Active Learning,essential,0
61,Amazon DynamoDB,software,0
61,Amazon Elastic Compute Cloud EC2,software,0
61,Amazon Redshift,software,0
61,Amazon Web Services AWS CloudFormation,software,1
61,Amazon Web Services AWS software,software,1
62,Active Listening,essential,1
62,Speaking,essential,1
62,Reading Comprehension,essential,1
62,Critical Thinking,essential,1
62,Monitoring,essential,1
62,Adobe Acrobat,software,1
62,Adobe Creative Cloud software,software,1
62,Bentley MicroStation,software,1
62,Eclipse IDE,software,1
62,Facebook,software,1
63,Reading Comprehension,essential,1
63,Active Listening,essential,0
63,Critical Thinking,essential,0
63,Speaking,essential,0
63,Science,essential,0
63,Google Docs,software,1
63,MEDITECH software,software,1
63,Microsoft Excel,software,0
63,Microsoft Office software,software,1
63,Microsoft Outlook,software,0
64,Reading Comprehension,essential,1
64,Active Listening,essential,0
64,Critical Thinking,essential,1
64,Speaking,essential,0
64,Science,essential,0
64,Google Docs,software,0
64,MEDITECH software,software,1
64,Microsoft Excel,software,0
64,Microsoft Office software,software,0
64,Microsoft Outlook,software,0
65,Reading Comprehension,essential,0
65,Active Listening,essential,0
65,Critical Thinking,essential,1
65,Speaking,essential,0
65,Science,essential,0
65,Google Docs,software,0
65,MEDITECH software,software,1
65,Microsoft Excel,software,1
65,Microsoft Office software,software,0
65,Microsoft Outlook,software,0
68,Active Listening,essential,1
68,Speaking,essential,0
68,Reading Comprehension,essential,1
68,Critical Thinking,essential,1
68,Monitoring,essential,1
68,Adobe Acrobat,software,1
68,Adobe Creative Cloud software,software,1
68,Bentley MicroStation,software,1
68,Eclipse IDE,software,0
68,Facebook,software,0
70,Active Listening,essential,0
70,Speaking,essential,1
70,Reading Comprehension,essential,1
70,Writing,essential,0
70,Active Learning,essential,0
70,Apple macOS,software,1
70,HubSpot software,software,0
70,IBM SPSS Statistics,software,0
70,Microsoft Excel,software,0
70,Microsoft Office software,software,0
72,Active Listening,essential,0
72,Speaking,essential,1
72,Reading Comprehension,essential,0
72,Critical Thinking,essential,0
72,Monitoring,essential,1
72,Adobe Acrobat,software,1
72,Adobe Creative Cloud software,software,1
72,Bentley MicroStation,software,0
72,Eclipse IDE,software,0
72,Facebook,software,1
73,Science,essential,1
73,Reading Comprehension,essential,1
73,Active Listening,essential,0
73,Critical Thinking,essential,1
73,Monitoring,essential,1
73,Adobe Acrobat,software,1
73,Adobe Photoshop,software,1
73,ESRI ArcGIS software,software,1
73,IBM SPSS Statistics,software,1
73,Microsoft Access,software,1
74,Active Listening,essential,1
74,Speaking,essential,0
74,Reading Comprehension,essential,0
74,Critical Thinking,essential,1
74,Monitoring,essential,1
74,Adobe Acrobat,software,0
74,Adobe Creative Cloud software,software,1
74,Bentley MicroStation,software,1
74,Eclipse IDE,software,1
74,Facebook,software,1
75,Reading Comprehension,essential,0
75,Active Listening,essential,0
75,Critical Thinking,essential,1
75,Speaking,essential,0
75,Science,essential,0
75,Google Docs,software,1
75,MEDITECH software,software,1
75,Microsoft Excel,software,0
75,Microsoft Office software,software,1
75,Microsoft Outlook,software,0
76,Reading Comprehension,essential,1
76,Active Listening,essential,0
76,Critical Thinking,essential,1
76,Speaking,essential,1
76,Science,essential,0
76,Google Docs,software,1
76,MEDITECH software,software,1
76,Microsoft Excel,software,1
76,Microsoft Office software,software,1
76,Microsoft Outlook,software,1
77,Critical Thinking,essential,1
77,Speaking,essential,1
77,Monitoring,essential,1
77,Reading Comprehension,essential,1
77,Active Listening,essential,1
77,Adobe Acrobat,software,1
77,Adobe After Effects,software,1
77,Adobe InDesign,software,1
77,Adobe Photoshop,software,0
77,Autodesk AutoCAD,software,1
78,Critical Thinking,essential,1
78,Speaking,essential,1
78,Monitoring,essential,1
78,Reading Comprehension,essential,1
78,Active Listening,essential,1
78,Adobe Acrobat,software,0
78,Adobe After Effects,software,1
78,Adobe InDesign,software,0
78,Adobe Photoshop,software,1
78,Autodesk AutoCAD,software,1
79,Reading Comprehension,essential,1
79,Active Listening,essential,0
79,Critical Thinking,essential,1
79,Speaking,essential,1
79,Science,essential,1
79,Google Docs,software,1
79,MEDITECH software,software,1
79,Microsoft Excel,software,1
79,Microsoft Office software,software,1
79,Microsoft Outlook,software,1
80,Science,essential,1
80,Reading Comprehension,essential,1
80,Active Listening,essential,1
80,Critical Thinking,essential,1
80,Monitoring,essential,1
80,Adobe Acrobat,software,1
80,Adobe Photoshop,software,1
80,ESRI ArcGIS software,software,1
80,IBM SPSS Statistics,software,1
80,Microsoft Access,software,1
81,Active Listening,essential,1
81,Speaking,essential,1
81,Reading Comprehension,essential,1
81,Critical Thinking,essential,1
81,Monitoring,essential,1
81,Adobe Acrobat,software,1
81,Adobe Creative Cloud software,software,1
81,Bentley MicroStation,software,1
81,Eclipse IDE,software,1
81,Facebook,software,1
83,Active Listening,essential,1
83,Speaking,essential,1
83,Reading Comprehension,essential,1
83,Writing,essential,1
83,Active Learning,essential,1
83,Apple macOS,software,1
83,HubSpot software,software,1
83,IBM SPSS Statistics,software,1
83,Microsoft Excel,software,1
83,Microsoft Office software,software,1
84,N/A - Department-level analysis only,N/A,0
85,Critical Thinking,essential,1
85,Speaking,essential,1
85,Monitoring,essential,1
85,Reading Comprehension,essential,1
85,Active Listening,essential,1
85,Adobe Acrobat,software,1
85,Adobe After Effects,software,1
85,Adobe InDesign,software,1
85,Adobe Photoshop,software,1
85,Autodesk AutoCAD,software,1
86,Critical Thinking,essential,0
86,Reading Comprehension,essential,0
86,Active Listening,essential,0
86,Speaking,essential,0
86,Active Learning,essential,1
86,Amazon DynamoDB,software,1
86,Amazon Elastic Compute Cloud EC2,software,0
86,Amazon Redshift,software,1
86,Amazon Web Services AWS CloudFormation,software,1
86,Amazon Web Services AWS software,software,1
88,Critical Thinking,essential,1
88,Reading Comprehension,essential,1
88,Active Listening,essential,1
88,Speaking,essential,1
88,Active Learning,essential,1
88,Amazon DynamoDB,software,0
88,Amazon Elastic Compute Cloud EC2,software,0
88,Amazon Redshift,software,0
88,Amazon Web Services AWS CloudFormation,software,0
88,Amazon Web Services AWS software,software,1
90,Critical Thinking,essential,1
90,Reading Comprehension,essential,0
90,Active Listening,essential,0
90,Speaking,essential,0
90,Active Learning,essential,0
90,Amazon DynamoDB,software,1
90,Amazon Elastic Compute Cloud EC2,software,1
90,Amazon Redshift,software,0
90,Amazon Web Services AWS CloudFormation,software,0
90,Amazon Web Services AWS software,software,0
91,Active Listening,essential,1
91,Speaking,essential,0
91,Reading Comprehension,essential,0
91,Critical Thinking,essential,1
91,Monitoring,essential,1
91,Adobe Acrobat,software,1
91,Adobe Creative Cloud software,software,1
91,Bentley MicroStation,software,1
91,Eclipse IDE,software,1
91,Facebook,software,1
94,Critical Thinking,essential,1
94,Reading Comprehension,essential,0
94,Active Listening,essential,1
94,Speaking,essential,1
94,Active Learning,essential,1
94,Amazon DynamoDB,software,0
94,Amazon Elastic Compute Cloud EC2,software,1
94,Amazon Redshift,software,1
94,Amazon Web Services AWS CloudFormation,software,0
94,Amazon Web Services AWS software,software,0
95,Critical Thinking,essential,0
95,Reading Comprehension,essential,1
95,Active Listening,essential,1
95,Speaking,essential,0
95,Active Learning,essential,0
95,Amazon DynamoDB,software,0
95,Amazon Elastic Compute Cloud EC2,software,0
95,Amazon Redshift,software,1
95,Amazon Web Services AWS CloudFormation,software,0
95,Amazon Web Services AWS software,software,1
96,Critical Thinking,essential,1
96,Reading Comprehension,essential,1
96,Active Listening,essential,1
96,Speaking,essential,1
96,Active Learning,essential,1
96,Amazon DynamoDB,software,1
96,Amazon Elastic Compute Cloud EC2,software,1
96,Amazon Redshift,software,1
96,Amazon Web Services AWS CloudFormation,software,1
96,Amazon Web Services AWS software,software,1
97,Reading Comprehension,essential,0
97,Active Listening,essential,1
97,Critical Thinking,essential,1
97,Speaking,essential,1
97,Science,essential,1
97,Google Docs,software,0
97,MEDITECH software,software,1
97,Microsoft Excel,software,0
97,Microsoft Office software,software,1
97,Microsoft Outlook,software,0
98,Critical Thinking,essential,1
98,Speaking,essential,1
98,Monitoring,essential,1
98,Reading Comprehension,essential,1
98,Active Listening,essential,1
98,Adobe Acrobat,software,1
98,Adobe After Effects,software,1
98,Adobe InDesign,software,0
98,Adobe Photoshop,software,1
98,Autodesk AutoCAD,software,1
100,Active Listening,essential,1
100,Speaking,essential,1
100,Reading Comprehension,essential,1
100,Critical Thinking,essential,1
100,Monitoring,essential,1
100,Adobe Acrobat,software,1
100,Adobe Creative Cloud software,software,1
100,Bentley MicroStation,software,1
100,Eclipse IDE,software,1
100,Facebook,software,1
101,Science,essential,1
101,Reading Comprehension,essential,0
101,Active Listening,essential,0
101,Critical Thinking,essential,0
101,Monitoring,essential,1
101,Adobe Acrobat,software,0
101,Adobe Photoshop,software,1
101,ESRI ArcGIS software,software,0
101,IBM SPSS Statistics,software,1
101,Microsoft Access,software,1
102,Science,essential,1
102,Reading Comprehension,essential,1
102,Active Listening,essential,0
102,Critical Thinking,essential,1
102,Monitoring,essential,1
102,Adobe Acrobat,software,0
102,Adobe Photoshop,software,1
102,ESRI ArcGIS software,software,1
102,IBM SPSS Statistics,software,0
102,Microsoft Access,software,1
103,Speaking,essential,1
103,Reading Comprehension,essential,0
103,Active Listening,essential,0
103,Writing,essential,1
103,Critical Thinking,essential,1
103,Adobe Acrobat,software,0
103,Adobe Creative Cloud software,software,0
103,Adobe Illustrator,software,1
103,Adobe InDesign,software,0
103,Adobe Photoshop,software,0
104,Reading Comprehension,essential,1
104,Active Listening,essential,1
104,Critical Thinking,essential,1
104,Speaking,essential,1
104,Science,essential,1
104,Google Docs,software,1
104,MEDITECH software,software,1
104,Microsoft Excel,software,0
104,Microsoft Office software,software,1
104,Microsoft Outlook,software,1
105,Critical Thinking,essential,1
105,Reading Comprehension,essential,0
105,Active Listening,essential,1
105,Speaking,essential,1
105,Active Learning,essential,0
105,Amazon DynamoDB,software,1
105,Amazon Elastic Compute Cloud EC2,software,1
105,Amazon Redshift,software,1
105,Amazon Web Services AWS CloudFormation,software,1
105,Amazon Web Services AWS software,software,1
106,Active Listening,essential,0
106,Speaking,essential,1
106,Reading Comprehension,essential,1
106,Critical Thinking,essential,1
106,Monitoring,essential,1
106,Adobe Acrobat,software,0
106,Adobe Creative Cloud software,software,0
106,Bentley MicroStation,software,1
106,Eclipse IDE,software,1
106,Facebook,software,0
107,Critical Thinking,essential,1
107,Reading Comprehension,essential,1
107,Active Listening,essential,1
107,Speaking,essential,1
107,Active Learning,essential,1
107,Amazon DynamoDB,software,1
107,Amazon Elastic Compute Cloud EC2,software,1
107,Amazon Redshift,software,1
107,Amazon Web Services AWS CloudFormation,software,1
107,Amazon Web Services AWS software,software,1
110,Critical Thinking,essential,0
110,Speaking,essential,1
110,Monitoring,essential,1
110,Reading Comprehension,essential,1
110,Active Listening,essential,1
110,Adobe Acrobat,software,0
110,Adobe After Effects,software,0
110,Adobe InDesign,software,0
110,Adobe Photoshop,software,1
110,Autodesk AutoCAD,software,1
112,Critical Thinking,essential,0
112,Speaking,essential,0
112,Monitoring,essential,1
112,Reading Comprehension,essential,0
112,Active Listening,essential,0
112,Adobe Acrobat,software,1
112,Adobe After Effects,software,1
112,Adobe InDesign,software,1
112,Adobe Photoshop,software,1
112,Autodesk AutoCAD,software,1
113,Active Listening,essential,0
113,Speaking,essential,1
113,Reading Comprehension,essential,1
113,Writing,essential,1
113,Active Learning,essential,0
113,Apple macOS,software,0
113,HubSpot software,software,1
113,IBM SPSS Statistics,software,1
113,Microsoft Excel,software,0
113,Microsoft Office software,software,0
116,Reading Comprehension,essential,1
116,Active Listening,essential,1
116,Critical Thinking,essential,1
116,Speaking,essential,1
116,Science,essential,1
116,Google Docs,software,1
116,MEDITECH software,software,0
116,Microsoft Excel,software,1
116,Microsoft Office software,software,1
116,Microsoft Outlook,software,1
117,Active Listening,essential,1
117,Speaking,essential,1
117,Reading Comprehension,essential,1
117,Writing,essential,0
117,Active Learning,essential,1
117,Apple macOS,software,1
117,HubSpot software,software,1
117,IBM SPSS Statistics,software,0
117,Microsoft Excel,software,1
117,Microsoft Office software,software,1
118,Active Listening,essential,1
118,Speaking,essential,1
118,Reading Comprehension,essential,1
118,Critical Thinking,essential,1
118,Monitoring,essential,1
118,Adobe Acrobat,software,1
118,Adobe Creative Cloud software,software,1
118,Bentley MicroStation,software,1
118,Eclipse IDE,software,1
118,Facebook,software,1
119,Active Listening,essential,1
119,Speaking,essential,1
119,Reading Comprehension,essential,1
119,Writing,essential,1
119,Active Learning,essential,1
119,Apple macOS,software,1
119,HubSpot software,software,1
119,IBM SPSS Statistics,software,1
119,Microsoft Excel,software,1
119,Microsoft Office software,software,1
120,Active Listening,essential,1
120,Speaking,essential,1
120,Reading Comprehension,essential,1
120,Critical Thinking,essential,1
120,Monitoring,essential,1
120,Adobe Acrobat,software,1
120,Adobe Creative Cloud software,software,1
120,Bentley MicroStation,software,1
120,Eclipse IDE,software,1
120,Facebook,software,1
121,Active Listening,essential,1
121,Speaking,essential,1
121,Reading Comprehension,essential,1
121,Critical Thinking,essential,1
121,Monitoring,essential,1
121,Adobe Acrobat,software,1
121,Adobe Creative Cloud software,software,1
121,Bentley MicroStation,software,1
121,Eclipse IDE,software,1
121,Facebook,software,1
124,Active Listening,essential,1
124,Speaking,essential,1
124,Reading Comprehension,essential,1
124,Writing,essential,1
124,Active Learning,essential,1
124,Apple macOS,software,1
124,HubSpot software,software,1
124,IBM SPSS Statistics,software,1
124,Microsoft Excel,software,1
124,Microsoft Office software,software,1
125,Active Listening,essential,1
125,Speaking,essential,1
125,Reading Comprehension,essential,1
125,Critical Thinking,essential,1
125,Monitoring,essential,1
125,Adobe Acrobat,software,0
125,Adobe Creative Cloud software,software,1
125,Bentley MicroStation,software,1
125,Eclipse IDE,software,1
125,Facebook,software,1
126,Science,essential,1
126,Reading Comprehension,essential,1
126,Active Listening,essential,1
126,Critical Thinking,essential,1
126,Monitoring,essential,1
126,Adobe Acrobat,software,1
126,Adobe Photoshop,software,1
126,ESRI ArcGIS software,software,0
